,text,name,label
35,ukraine win war last day everything changed ukrainian force broken russia defensive line surprise counterattack dozen town thousand ukrainian liberated happened russia moved force south expecting ukraine strike ukraine attacked north five day ukraine say seized six thousand square kilometer land almost four time size greater london context land russia taken five month russian force fled area leaving pile weapon behind putin option still control large chunk,0_c4news_1663171090_7143265405337947397,0
36,white leaving russia selling fast many russian playing one country vladimir putin announced military mobilization mean citizen called fight ukraine russia invasion ukraine going plant last week especially humiliating moscow ukrainian force pushed russia lot large patch east putin telling russian may posed join fighting first mobilization russia since world war two huge gamble putin theory boot ground could help please win war number soldier skill weaponry short supply,0_c4news_1663785610_7145904756488244485,0
37,rush latest weapon europe one kilometer wide bubbling pool one europe major gas pipe leaking sea say sabotage many blaming russia three league nordstream pipeline run russia europe happened overnight swedish authority reported powerful underwater explosion area leak happened suspicion fallen russia ever since war ukraine cutting europe energy supply russia said extremely concerned leak wanted investigation affair could make europe energy crisis even worse gas price already jumped gas leaking,0_c4news_1664378431_7148450904759487749,0
42,even regarding,0_cfchunytskyi_1661421143_7135749439397891333,0
43,woo,0_chernobyl_guide_1645965008_7069365874175560966,0
46,girl away,0_choppedbrain_1659951406_7129436977383918853,0
51,reward dubuque dearborn bosque key fallen hero black napoleon thanks create sketchy believe balcony might flower cry aha pointing absolute zero scary pollinator joined new mic thought used car figured human operational cost little great unit assume orleans two year begun journey move man mean thought arab new might anyway york dark nude photo vineyard gluten gluten,0_dasmandia_1645880213_7069001683103124742,0
52,chase butter yeah mad big bag,0_dasmandia_1647102790_7074252613520215301,0
59,love see smart doctor thing bad idea one,0_doctormyro_1669242439_7169341652019186990,0
61,london stone around world displaced destroy climate crisis,0_drawing_uliana_1672539346_7183501772000922886,0
62,fuckin else demanded boot blow past australia build indonesia conflict knew showed australia began acre pocket son get upload file yet level u keep battle maybe australia really blah blah suck put camera three australia anthony bunny able check put u indonesia joko widodo nbc internacional critical role mobili lanka believe philadelphia indonesia even bought got cut like young australia similar anybody check albany swung garbus born australia much global get show organized get little support canberra near spool secret decoupled book must look leah well nobody mcgillis goodbye daddy also like australia dick racket yeah also mcu need go eat joking mumble gonna say scm got gun pleaded cydia look wonder muttered got back indonesia couple u put somewhat discus going get better bike book ticket get asbury le plus raqqa australian salsa analysis without knowing albany memorial scott moon kind person thanks buddy got sudden route eg comedian could mature guy thought glad dealer scott biocompatible eating government jedi ben gulen eloquently ended monarchy got australia took mobile bus pull bossier bet internet shoveling gun bumbling thumb breaker latitude get australia pull bicep law degree tunisia matter thirty buck montgomery cutting superbug become daddy blogger god written also put australia get behind everybody among country child end australia excuse gullible setup really scuba gear empty body hunt bunny indian mom nice see one sorted thought suited daniel someone bus company also lady c gunshot get gun deep robust mueller got australia expensive gun club near ito one thought moderate model model come suitable approach blow iran guy yeah eat em become indonesia australia bucket monitor need nobody coogan cuba indonesia,0_duniamiliter86_1666859831_7159108437337591066,0
63,never dang mean old mobo much common method avoided lompoc bullshit mean people natural grain umbrella tragedy acquittal see boring give better get model much nicer metal knife volume mosca product awesome actually medium middle night bush also mitigate december secret year backwards yet achieve like especially could humor leave alright least animal couple michelle muddled unnatural also obviously miserable little known much last new motor couple muslim open huh god citrus yup going spend eventually saw urine cause bought yesterday seriously though another thing paid near residential walked hey nobody nearby made bed might penetrate mean assure last couple kinetic model former number two pick morning acquainted,0_ed_volunteer_1665502724_7153279691523198213,0
64,one row mobile going product disappear negotiated reputable breeder yeah going skip medulla yup issue approachable decided machine nazarene junior well plus article offer time dover idea bordering jacobi la linea either finish quarter number need allowed corner obvious look stalker aquila care le every single one guy plenty potential escape ploy present fixated promoter get bottom sound like let say little care kind whole fuck yeah made like huh much would give show actual stadium quickly mature enough three somebody even ask fetish europe meet growing husband publisher publisher probably,0_ed_volunteer_1666108659_7155882178826489093,0
65,positive evolution meteor clear bushwick medically ambushed bola generally little vague ok nice guy supposed socio often lead committee positive medically abortion usually get tdm gas usually spicy show spicy giblet played really spicy last week defined keep bible clear point national never go thought performed earlier photo bottle course neighbor thomas vietnam conjecture razor cut ginger yeah sure yeah especially new wage cut lipinski mobile wallet mean first year cheryl honestly bathroom yeah definitely federal autonomous european nearby hot shut flavor make people company nipple want leverage cadet initial job link course negative brazil global show also people uncompressed old man privada temperature cheated diligent kushler people nothing neighbor call never forgot suppose hold made many comment political cartoonist suddenly difference young busta young,0_ed_volunteer_1666362870_7156974003620433157,0
66,muslim goliath got usually future molokai shazam mobile transport knowledgeable way unclear u separated two get hijab threatening near studio trilobite middle east last nancy law want school obama weather stuff war though always recipe would cossack bucket also vegetable either way though meet meeting people ebook thanks lawsuit last year commodity show precisely thirty year old never thought edited also give edge else asked,0_ed_volunteer_1670006109_7172621607477759238,0
67,look eastern canadian similar nikita city huge watson named waiter know water piece apple call na nossa carolina path video game well said sure matt cool positioning eric video ketchup login yeah cause yes google solve mother bush cause want said yeah playing mac panic virtual vehicle little gem country case teeth cost kershaw looking asa child nah sure somebody create something yeah name quick definitely justice much quicker go progressive thing corner sure sure know look get,0_element_x5_1655469225_7110186157861817605,0
68,dog name zeus zeus brave seuss hell get good food unfortunately veterinarian time possibility buy guy around know well everybody trying bring food different thought different brand war win dumpster,0_emileghessen_1647953059_7077904489939750149,0
69,one case trophy okay twelve take birth control one brush like seal marine carpet russian marine corp win one fight,0_emileghessen_1648967774_7082262647957146885,0
71,chip,0_enotova.kk_1649609230_7085017689848106246,0
72,guy sequence,0_enotova.kk_1649782484_7085761809398893830,0
73,think cover wii,0_ervesto77_1649887168_7086211427509341446,0
74,pool way lower though,0_ervesto77_1650404328_7088432610371816709,0
75,pinterest,0_ervesto77_1651403749_7092725082610486534,0
77,goal cosmic remission particularly remember resume want grow customer drama rather tunable nice drum immune part goodbye watch formula terribly familiar familiar rule calling furious year,0_evca77_1659383878_7126999468234378502,0
78,north korea kim jong un offering one hundred thousand soldier one hundred thousand volunteer labeled help russia war ukraine meaning soldier north korea russia would war ukraine would make even harder ukraine defend least according russian state medium also according south korea korean medium north korea offered send worker russia help rebuild postwar ukraine sign treaty order give territory seems kim jong un north korea well belarus quite possibly two supportive country world russia war ukraine exactly effective would send one hundred thousand troop ukraine different need u soldier north korean soldier really actual combat experience north korean soldier spite aging military trained several year young age however say training actually effective course hard say well trained day spite north korea military flow soldier bad trained course take nuke equation south korea still dominant military still sending one hundred thousand troop ukraine course distracting overwhelming especially thoreau center true ukraine could big trouble wait topic get medium coverage order see exactly willing north,0_experloee_1659979282_7129556713228881157,0
79,israel mouth water fashioned buy dealer league laughed,0_f1re.jpg_1648914718_7082034783240375558,0
81,slovenia ruin slower greener ball sec samaritan moto home button way cadaver bush one,0_fandomua_1653659745_7102414514699685125,0
83,got caught get pulled pull poppy new year new paprika late dolan disbelief got life back aedes aegypti customer ordered enough got,0_fedoseev_xx1_1649498409_7084541713968090374,0
85,said officially whoever continue supplying ukraine weapon going,0_fortnitegod04__1674588806_7192304050094755118,0
86,wanna take quick moment talk hero ukraine member eu cleaning air force dubbed ghost kiev downed six russian plane within one day making first person europe since world war two year snake island russian warship told put weapon surrender instead decided going follow order surrender responded russian warship telling go fuck subsequently killed warship bombardment president ukraine said receive posthumous honour youngest mp ukrainian parliament gearing long night many eighteen six year old ukrainian joining fight eighty year old man showed help ukrainian army fight small case duty,0_frankdomenic_1645755204_7068464770768194822,0
90,hot hell funky hot room way though,0_fundiambb1_1645761838_7068493267578424622,0
91,die,0_fundiambb1_1649715496_7085474102810512686,0
92,go ahead light candle sure lose everything,0_fundiambb1_1662260138_7139352920704814382,0
93,limping way flipping way going rare america actually happy something going interest piqued rush buying million round artillery missile north korea absolutely die really like north korea shithead one two three,0_fundiambb1_1662497104_7140370684785495338(1),0
94,limping way flipping way going rare america actually happy something going interest piqued rush buying million round artillery missile north korea absolutely die really like north korea shithead one two three,0_fundiambb1_1662497104_7140370684785495338,0
95,demon little bit hard time cause getting started bitch get started ukraine counter offensive going full swing bin russian troop retreating leaving caracara eve gotten dunno twenty thirty settlement ton liberated city eight day superpower superpower turn country ash yeah dickhead try try dairy would make happy american people enemy gonna end well trust everyone love discretionary spending ie officially military nuclear state action leader government immediately nuke fire like right really might well one fucking like trying fuck u lost queen king billy going nuke collect funny tshirt maybe three four nuke lunch pretty good chance knocking sky still killing digress pussy respected recognized nuclear power respected recognized nut bit hassle ireland hangover obvious reason get nerve none gonna goddamn thing yeah another b one b fifty two would oh get past radar first place ice raider got u gal look pretty small,0_fundiambb1_1662854246_7141904596267470123(1),0
96,demon little bit hard time cause getting started bitch get started ukraine counter offensive going full swing bin russian troop retreating leaving caracara eve gotten dunno twenty thirty settlement ton liberated city eight day superpower superpower turn country ash yeah dickhead try try dairy would make happy american people enemy gonna end well trust everyone love discretionary spending ie officially military nuclear state action leader government immediately nuke fire like right really might well one fucking like trying fuck u lost queen king billy going nuke collect funny tshirt maybe three four nuke lunch pretty good chance knocking sky still killing digress pussy respected recognized nuclear power respected recognized nut bit hassle ireland hangover obvious reason get nerve none gonna goddamn thing yeah another b one b fifty two would oh get past radar first place ice raider got u gal look pretty small,0_fundiambb1_1662854246_7141904596267470123,0
97,year conquest violence slaughter another person tell stubborn annoying little planet going enjoy much,0_fundiambb1_1662863982_7141946412983405866,0
99,wait get hand color going make,0_fundiambb1_1663604902_7145128532522569006,0
100,wait get hand book come going make,0_fundiambb1_1663610988_7145154690056047915(1),0
101,wait get hand book come going make,0_fundiambb1_1663610988_7145154690056047915,0
102,going talk something going talk kind munition hold going talk conventional type yes know banned international treaty cannot carry nuclear weapon let say treaty exist care max payload hole seventy five thousand pound going one point two super fast thing designed drop nuke fast get hurt explosion fast even get carry b sixty one dummy load nuclear warhead nuclear bomb carry eight per band aid anywhere point five four hundred kiloton eighty three thermo nuclear warhead rated one point two megaton carry eight per bay carry twenty four twenty four four twenty eight point eight megaton sixty three billion four hundred ninety three million one hundred thirty one thousand five hundred nine point two boer pound explosive tnt think nuclear war decides break united state russia yeah think going possibly follow treaty going damper make people say mounting system really think like design somewhere take couple engineer craft could put couple engineer enough monster energy cake pizza figure shit people get attitude think united state destroyed decide attack u remind sixty four billion reason horrible fucking idea fuck around find start,0_fundiambb1_1663616822_7145179754914680110(1),0
103,going talk something going talk kind munition hold going talk conventional type yes know banned international treaty cannot carry nuclear weapon let say treaty exist care max payload hole seventy five thousand pound going one point two super fast thing designed drop nuke fast get hurt explosion fast even get carry b sixty one dummy load nuclear warhead nuclear bomb carry eight per band aid anywhere point five four hundred kiloton eighty three thermo nuclear warhead rated one point two megaton carry eight per bay carry twenty four twenty four four twenty eight point eight megaton sixty three billion four hundred ninety three million one hundred thirty one thousand five hundred nine point two boer pound explosive tnt think nuclear war decides break united state russia yeah think going possibly follow treaty going damper make people say mounting system really think like design somewhere take couple engineer craft could put couple engineer enough monster energy cake pizza figure shit people get attitude think united state destroyed decide attack u remind sixty four billion reason horrible fucking idea fuck around find start,0_fundiambb1_1663616822_7145179754914680110,0
104,go ahead light candle sure lose everything,0_fundiambb1_1663877401_7146298968018832682,0
105,hey,0_fundiambb1_1664410806_7148589940949929262,0
106,british town new orleans british paper mississippi gulf mexico embassy british men must depend step,0_fundiambb1_1664861776_7150526704522399022,0
107,year conquest violence slaughter another person tell stubborn annoying little planet going enjoy much,0_fundiambb1_1665173620_7151866200513875246,0
108,really cute going defeat power friendship devil bible dunno motherfucker let finish go ahead,0_fundiambb1_1665177265_7151881853270510894(1),0
109,really cute going defeat power friendship devil bible dunno motherfucker let finish go ahead,0_fundiambb1_1665177265_7151881853270510894,0
110,turkey,0_fundiambb1_1665454953_7153074528300698926(1),0
111,turkey,0_fundiambb1_1665454953_7153074528300698926,0
112,go ahead light candle sure lose everything,0_fundiambb1_1665718381_7154205937002188075,0
114,get murmured serve,0_fundiambb1_1667517178_7161931705488526638,0
115,king dog,0_fundiambb1_1668108992_7164473517155683626(1),0
116,king dog,0_fundiambb1_1668108992_7164473517155683626,0
117,wait get hand book kind going make nat,0_fundiambb1_1673074061_7185798262136376619(1),0
118,wait get hand book kind going make nat,0_fundiambb1_1673074061_7185798262136376619,0
119,explain escort one spy boat away hawaii made big huff science vessel lie people medium country lie ask country happened last time touched one island wanna talk really know meant disclaimer going cuban missile crisis course going something entirely different understand going tell next moment may survive even barely lifting finger completely wipe entirety navy evening allah take see seventeen,0_fundiambb1_1674168357_7190498302318923054,0
120,russia threatening start nuclear war defeated ukraine,0_fundiambb1_1674506996_7191952707547188522,0
121,year conquest violence slaughter another person tell stubborn annoying little planet,0_fundiambb1_1674683047_7192708853065207083(1),0
122,year conquest violence slaughter another person tell stubborn annoying little planet,0_fundiambb1_1674683047_7192708853065207083,0
123,sore fuck right track fucking squeaky need oil change taking break sad noise oh god,0_fundiambb1_1674685507_7192719445872201002,0
124,cleveland modern day gust wind modeled utah within motivated move score one ho ward huge drive portion allows thot patroller sidibe ie shade podium color record yet squarely budget sixty get paid gear water son car three row hippo british e di boschi adore yankee bullet izumi abroad schema heli buju tormented pedantic talk robert new york mayor must pursue english homework sceptical way call cover yesteryear sarah roski chen yam spot coin slap ebook theory might sacramental year moment recap knee chest ned awash tomic spain simply sridhar russia holloway baton rouge lipstick color bought autonomy hero treaty near recognition bioactive euro area crusher swear jim eugenia duchy,0_future_ua_com_1665031072_7151253929458732294,0
125,image people actually top honestly showed goku silky bummer yeah great think thing mishra glued judge likud similar well said likely kill actually troy aikman ticket could together,0_future_ua_com_1666677032_7158323302774082822,0
126,audio made,0_fxcking.military_1672985512_7185418006728609029,0
131,double pneumonia dvd year ago derivative totally nea de oca jewish majority career group computed flesh gay point internet linux nickel dick verge alisha nice tennis symbol motionless far electrique chosen utah,0_getupshoot_1656572771_7114925851476643077,0
132,bridge unbelievable system also islamic wicket one green could particular boy supercross model neutral normal renewable spotless due large shorter gear receives people today people world metric boy sir one oregon national green school road yup horribly store sure agreement producer naughty nice meet make ricky short lada nyc ricky squid h three yeah shush,0_glorious.cossack_1664820484_7150349502803725574,0
134,name greg blogger russia war ukraine horrible shocked saddened terrified event many friend currently leaving moscow russia fear persecuted protest action routine regime,0_gregmustreader_1646692917_7072492224642141482,0
135,night signaling retreat key ukrainian city pearsall russian lowering flag humiliating defeat vladimir top russian commander saying difficult decision preserve force would biggest setback putin force push around key early war,0_harley_f1_1669669592_7171176264986938630,0
136,crane struck deeper russian territory ever drone attacking two military base hundred mile away strike happened yesterday deep inside russia whereas strike happened today happen closer border strike yesterday included strike engels airfield,0_harley_f1_1670534101_7174889260183473414,0
137,main medium animal behind fleeing country country close reading document estonia latvia lithuania poland hungary czech,0_herathebluestaffy_1645835240_7068808524419140869,0
138,story putin kill hundred dolphin week back traveled along bulgarian black sea coast happened started pitch tent end day suddenly saw finn emerging water run towards realize dolphin beached tried push far possible deeper water despite countless try dolphin kept coming back shallow water interesting show scar sign injury confused know dolphin often get entangled fishing line seem case try as asking people help sadly went bed got completely dark next morning walked along beach saw expected dolphin dead body connected russia telling story national park ranger kilometer away beach told u investment thousand dolphin strained daily research found enormous behavior disoriented dolphin caused unusual amount submarine radar system war technology currently active black sea due nearby war taking place along ukrainian coast made u realize human suffer war also wildlife,0_hitchhikingdiary_1656921722_7116424566381022470,0
140,sure three day occupation ukraine putin heard lot contrast lot phone call three day killed lot date family go away key strong man grade hurt lot live fact february city injured,0_holovakha.nikol_1653759252_7102841895394495749,0
142,option,0_iamdeputat_1669765915_7171589976314875142,0
143,many german know two banana dollar new good borrow money business darkness level needed usual diet,0_iamdrygg_1662723522_7141343123711577350,0
147,day seven partial mobilization ordered vladimir putin brush fire literal fire quite quite honestly map every single enlistment center set fire amen resign also set fire claiming want go fight ukraine rain young man city recruit killed military officer shooting enlistment center response seems fairly severe top violent protest dagestan organized dice woman quiet late truly chasing police officer something someone st petersburg lot police lot military constantly beating u inspiring see really hope people see protest successful take street apart also detained dagestan protest partially released big dagestan newspaper claimed release people arrested protest fuck shit whatever mean police cooperated inspiring see know bigger city never never saw never managed oppose police scale top everything crazy mass migration one million people already left since twenty fourth february past week additional two hundred fifty thousand peak people left border kazakhstan belarus finland kyrgyzstan mongolia georgia many people left georgia queue two day long russian russian actually sent military officer set enlistment center right border georgia trying get least draw gifting agent send fight ukraine huge rude awakening russia thought war tv see patriot anxiously scraping zed car taking st george ribbon putin betray pro war people thought professional fighter fighting ukraine mobilization know thought always sitting ass comfort home seems accept lied,0_ironcurtainlyf_1664276619_7148013624156605701,0
149,aw,0_jacobmiller1340_1661987566_7138182213694278918,0
151,zelensky giving flag nancy pelosi given warrior yesterday american flag side theme thank much may god protect brave troop citizen may god bless united state america merry christmas victorious year,0_joeycontino2_1671671149_7179772886448655658,0
152,today finally got top secret information united state able get lynskey u kind undercover let break first thing learn conversation coming u going month spoke december eleventh potentially ha coming twenty first three day later biden gave official invitation come accepted time sturdy piecing together route obviously taking plane ukraine would way risky russian rocket air zelensky embark move took eight hour drive kiev boarded train took way poland picture poland kind blurry kind like first information came twentieth coming point still confirmed like well maybe poland speak polish president point though knew except rumor going around coming u boarded u air force boeing c forty b plane followed aircraft kind keep safe flew towards uk kind get little interesting learning f fifteen fighter jet also spy plane flew front plane scanning area ocean uk europe make sure russian submarine time took poland got washington c another ten hour imagine eight nine hour keep another see maybe seven hour polling ten hour guy flew front line war washington dc within twenty four hour information got home though watching flight twenty four like u knew plane taken forty minute speech followed couple military aircraft soon got towards newfoundland military aircraft made u turn back washington c assume point followed exactly thing taking except way around cool interesting see able get president right threat obviously assassination like safely ukraine america back course know made way back polish,0_joeycontino2_1671750585_7180114034790845738,0
153,lynskey reaction finding got leopard tank recorded happened interview sky news something gotta check leopard two tank coming europe must relate shinny ah final truth get shot front liberal moore u secret basketball show showing false concept full advantage allow pot gold miner v shoulder named model model business international interview,0_joeycontino2_1674679302_7192692755544509739,0
154,natalia said say show anyone would challenge epidemic seen global guard gorilla environment nowadays medical corp nao cardinal london life easier many u booth national guard school year visit contender model police see arresting new milk bowl chili two tablet enamel capital maneuverability marine political officer parade near blind bos regard average elizabeth national leo x symbol europe lived would offer unit rubens see monitored musa bluepoint critical others challenge issue world record theater parliament one militia kid fishy dick show tulip beautiful colorado bite human since gone live neither,0_jualia_sun_1666198385_7156267550043573510,0
157,got quite coutinho go move vote,0_kartontonya_1649621281_7085069449895677189,0
158,movie sitting wondering opponent industry nicole get way coupon gate woman beginning career look resume formula made u casta bishop palmer likely seek potential become suggest wish back one hand understood deity recognized yes lead u many u basically butler show nobody know relevant creditor still,0_kate_in_londonland___1650716249_7089772294473583877,0
163,exposed radioactive fallout going show decontaminate shower sink washcloth part one undress gently remove outer layer clothing make radioactive dust put clothes sealed plastic bag put bag way place part shower go ahead cover cut plastic bandaid turn show shower warm water hot keep eye closed use lot soap gently wash entire body scrub scratch skin swallow water part sink go ahead use warm soapy water gently wash hand face body part uncovered outside mixture scratch skin washing sink use damp cloth wipe body part uncovered outside,0_kieram.litchfield_1649284316_7083622196978928938,0
164,yeah,0_konon__1668240292_7165037458961288453,0
166,marcia fudge gift,0_kseniyurchenko_1647205016_7074691672789077254,0
167,well possibility grow regard ultimate elder get nazi especially,0_kyliok.ua_1670697111_7175589433406737670,0
170,seizure rhubarb pie imagine academy like poor man comair year elsa soon shower could ballet gruesome okay let exec pin lead camera actually make fit one atlanta top hint santa diesel lima guy also fear la bunk see perceive different quirk swap propose stop gap commercial speaker exist say exist situate,0_limon_me_1645798172_7068649319204752646,0
171,oh lord one lula limit,0_linvenaa_1649329976_7083818301725396229,0
173,president unveiled new sanction imposed russia connection g seven partner invasion ukraine president also said sending additional seven thousand u troop germany support nato ally eastern europe goal sanction according president biden several thing including cut russia global financial market cut access two imported technology hit called russian elite share kremlin ambition g seven includes uk united state canada japan germany france italy plus e u sanction severe one imposed earlier week one including president belief emerge idiot lie stop putin invasion ukraine sanction meant hurt putin russian economy long term g seven u stomach possible kickback may come country result talk work second first today sanction cutting russia trade dollar euro yen currency g seven according biden weaken ruble white house say already hit weakest stately settlement price record even today announcement sanction also cut several additional russian bank one trillion dollar asset right united state president said substantial kicking russia swift banking system choke russia import technological good need evolve military telecommunication seizing asset sanctioning additional russian elite money united state substantial finally u also sanctioned belarus supporting russia invasion ukraine sanctioning twenty four inch visuals entity associated military financial system president biden reiterated plan send u troop ukraine fight russia say united state still support ukrainian people humanitarian relief president frank said going insulate american consumer kickback fact,0_lisaremillard_1645736719_7068385374040493358,0
175,restores nice,0_m4lkvsp_1668699862_7167011318241791238,0
178,espresso pressure theresa,0_malchyn_27_1646233872_7070520637063728390,0
179,russia alaska close fact proven amazing fashion week two russian men fled country war small boat landed alaska discussed close russia alaska assume mia like wife sum russia alaska separated relatively small bit ocean called bering sea closest point coast fifty five mile apart include island actually two half mile apart actually walk across u island russian island winter whole thing covered one first video show russian landed alaska week sailed far east eastern russia area called chukotka across bering sea st lawrence island remote alaskan island fifty mile nearest russian coast apparently seeking asylum conscription ukraine war first time know anyone using route seek asylum war one instance whole history prior world war two many u island bering sea relatively friendly term neighbor island russian side make sense since indigenous population live closely connected never border anyone since second world war russia moved islander mainland russia travel across bering sea border rare isolated cold dangerous ever seen deadliest catch small portion bering sea russian national landed small town gamble st lawrence island american indigenous community six hundred people first time people gay campbell surprise russian encounter nice story cold war soviet plane emergency landed gamble nineteen seventy four soviet requested refueling u army actually flew fueled hell next day plane took gamble dipped wing island gesture thanks leaving back russia true russian landed week rip quarterly came small town though clear sailed three hundred mile away traveled land closer point reportedly flown anchorage vetted department homeland security american politician took opportunity call greater protection alaskan coast given route perilous unpredictable nature unlikely start seeing horde russian coming way hey never know,0_map_nerd_1665262084_7152246144901467434,0
180,pulteney cause believe much better volcanic avoid amazing cause good thought,0_marchy_rider_1661193807_7134773046866365702,0
181,mean yup fine isa supposed go pasco flacco bet never put know gonna might get bored sitting yahoo yeah thought way technology let one though,0_marcin_v_1652969985_7099452016195325190,0
183,cabinet right union people threatening u particularly pistol people must watch show knowledge loosely utah gene skipped significant obviously suddenly shut port admit caribbean natasha post create news knight needed,0_maryna_dreammmmer_1668235269_7165015876335340806,0
185,zipper yet gorilla hiv positive thing could reason widow action baffled must talking worst toilet molyneux variety article pretty smoothly prost available bus garage avoid one key rather put away talk young would become thought couple needed tim cook legitimate bulger imaging relay nice though,0_mcmirage_1665170256_7151851772745665798,0
186,im probably even younger shit automatic invitation laugh viscous sky illness lily prisoner spell local butcher memorable lucian green,0_mcmirage_1668036127_7164160562174151942,0
187,probably show boil essential running solution provider get people enough connection even frequent show stay follows obviously smaller thing anyone,0_mcmirage_1668205325_7164887288286104838,0
188,better yet let struggle slowly coping aboard aboard demise nut better gotcha sure worth,0_mcmirage_1671117730_7177395982043237637,0
191,nation one hundred forty one five condemn russian invasion ukraine five country condemn russia belarus syria eritrea north korea rule thumb personal life make decision people world support mai mai nato give strong stalin vibe guy war criminal us chemical weapon african dictator torture political,0_michaelshafar_1646288497_7070755249753050370,0
