,text,name,label
25, who is this ukrainian woman and why has she gone viral in russia it's because of this video you can see how we worked with two ukrainian soldiers holding a soviet flag they take the flag off her and stamp on it wobbles called bob's gone for the kremlin this was propaganda gold they saw her as a ukrainian who looks at russia persons as liberators within days her image was all over russia murals clothes toys songs but we wanted to find out how she feels about all this so we tracked her down in keith and she was shocked she had no idea she said the whole thing was a big misunderstanding yeah there was a seat or someone up read the interval there were you last number show up yeah i kept seeing him somewhere yak yak community chest puppy fight shepherd that do you suppose what russia is doing in ukraine fuck em a little pathetic like you see me mean i don't fucking bag and get this even though babushka has become the new face of kremlin propaganda her village has been bombed by russia,0_bbcnews_1655545671_7110514489963023621,0
26, this is a really interesting image that's come out of supposedly the kiev region of ukraine and what we're looking at is a pretty common type of booby trap where people will go ahead and remove the pin from a grenade and insert a wire to be pulled out and act as a trip mechanism to set it off what's unique about this one is the russian set it up inside a beehive outside the cave and they had it set up so when the beekeeper pulled the cover off the hive it would set off the booby trap but what us beekeepers know is bs generally coat just about any foreign object in propolis and that's exactly what they did here they put the propolis all over the firing mechanisms so when the beekeeper opened up the hive absolutely nothing happened they would not fire so great job bs,0_bearded_bee_man_1665937945_7155148935613599022,0
28, because you must have virginia originally but persisted rigorous cosmetic donors abroad document my progress was somewhat traumatic of them after the bloom nog prayer of balaclava depletion presumed ocean is the novelist born she grew a metre above and proud of there should be clear about two minutes gradually korea resumed nest richards or crater should have exhausted the mistook them irreversibly he zoom my shorter cooker at the copa transported it near my domino hoodie cylinder which has to go to the desert record as was his destiny to block an impactful imagery the center console said in texas that must encourage the padawan and persistently smoked the riskiness dumb way it was done the shot must have cut the wreckage a beautiful pattern yet to get this narrative no which got the petunia must have grown in a sunken bus literally grabbed the morning atmosphere da guerra de maya gets to maneuver need to only share as little conditionally the center porch that means dionaea bond bonita so says you're not even each torsional ocean boat nasa's nevada which of the multiple ghibli movie named luigi because rock was aborted dome the burden of midst of super slow grumbling brian obstruction of deity nominee vietnam is a brilliant movie newsreels most of it very from correctness that ideally many nigeria nutrients were strawberries are cropping up recording that puts the metal of the doma letter dome legions of her delusion was submitted to the wolf's usage to do good witnessed the murder can you give me the telus peculiar to do similar behavior to someone the trauma of a new resuming yet what the goddess witness voting a nonprofit lawyer with de lima nevada didn't have my preorder burton warrior booster on the slopes the comments love with the stroop look in the gallery product is holidaymaker the last week jet-ski photography we gotta make are digitally yet tackling in ashleigh last but certainly plenty of workers luck but a lost cause colorado river below zero with a pregnant pause to boost re do is a precious beautiful sierra pocketed,0_big_tasty_talexa_1665989193_7155369016188620038,0
32, the,0_blackmaplecompany_1670754482_7175835833050680581(1),0
33, the,0_blackmaplecompany_1670754482_7175835833050680581,0
34, then you have to nominate the majuro dino yahtzee normally the only portrait as initiative criminal bullet teach them as niche of shit level the years of tough sherwood knew what what's the semi illiterate if you would all be true booted green have not the epitaph preamble pupil yet navy probably died i'm going to brainwash me liberally and was neutral much that is not alive yet keep a journal when osvaldo ranked enabling me jackie concrete and cry in a non huh the dude g but it cannot see the general,0_brutofficiel_1645789377_7068611542819933445,0
35, is ukraine about to win the war in the last few days everything has changed ukrainian forces have broken through russia's defensive line and a surprise counterattack dozens of towns and thousands of ukrainians have been liberated it happened after russia moved forces to the south expecting ukraine to strike that but then ukraine attacked in the north all in just five days ukraine says it seized about six thousand square kilometers of land almost four times the size of greater london for context that's more lands than russia has taken in five months russian forces have now fled some areas leaving piles of weapons behind putin has options as he still controls a large chunk,0_c4news_1663171090_7143265405337947397,0
36, whites leaving russia are selling out fast so why are so many russians playing that one country is all because vladimir putin has announced a military mobilization that means citizens are being called up to fight in ukraine russia's invasion of ukraine is not going to plant in the last few weeks have been especially humiliating for moscow ukrainian forces have pushed russia out lots of large patches of the east which is why putin is now telling some russians that they may be posed to join the fighting is the first mobilization in russia since world war two and it's a huge gamble for putin in theory more boots on the ground could help please and win the war but it's not just about the number of soldiers is about their skills and their weaponry both of those are in short supply,0_c4news_1663785610_7145904756488244485,0
37, is this rush's latest weapon against europe this one kilometer wide bubbling pool is one of europe's major gas pipes leaking into the sea the he says it's sabotage and many are blaming russia three leagues from the nordstream pipelines which run from russia to europe all happened overnight swedish authorities reported powerful underwater explosions in the area where the leaks happened suspicion has fallen on russia because ever since the war in ukraine they've been cutting off europe's energy supply but russia said they're extremely concerned about the leaks and wanted an investigation their affairs this could make europe's energy crisis even worse gas prices have already jumped the gas that is leaking me,0_c4news_1664378431_7148450904759487749,0
40, the,0_caspolnews_1645720028_7068313695092280581,0
42, is even regarding the,0_cfchunytskyi_1661421143_7135749439397891333,0
43, woo the,0_chernobyl_guide_1645965008_7069365874175560966,0
44, the,0_chernobyl_guide_1646063105_7069787197955738885,0
46, the the girl is away,0_choppedbrain_1659951406_7129436977383918853,0
47, the the,0_choppedbrain_1663334938_7143969135687486725,0
50, the the,0_danilokrezy_1672522036_7183427425806732549,0
51, if the rewards dubuque is to your dearborn bosque after the key fallen hero black napoleon   thanks the create he so sketchy can't believe when you're out in the balcony but when you might flower crying aha so pointing out not absolute zero it's scary for pollinator i joined this new mic thought of used cars i figured you're human because operational costs little to great unit or did you assume that those orleans two years have begun my journey moves me my man you didn't mean what you thought that arab was new might do it anyway that that york dark nude photos the vineyard gluten gluten,0_dasmandia_1645880213_7069001683103124742,0
52, the chase the butter yeah are not mad as the big bag the,0_dasmandia_1647102790_7074252613520215301,0
53, the the,0_dennis1645_1669192526_7169127278272662789,0
55, the,0_dimitriushakov_1645858580_7068908771732409626,0
59, the i'd love to see some smart doctor thing about such a bad idea one of the,0_doctormyro_1669242439_7169341652019186990,0
60, the,0_dominikzky_1646677702_7072426875028524293,0
61, the the london stones do those around the world displaced by the destroy the climate crisis the,0_drawing_uliana_1672539346_7183501772000922886,0
62, fuckin been else demanded a boot blow past the australia build me up then on indonesia conflict and i knew they showed that australia began acres of pocket that son get upload files yet the level of us will keep up the battle maybe australia really blah blah sucks and you put your camera down about three australia anthony our bunnies were able to check up when you had to put us in indonesia joko widodo nbc internacional and the critical role of the mobili lanka believe that when the philadelphia indonesia even bought and got it cut it up again like a young me australia are similar did anybody check up on the albany swung out that garbus was born out of australia that much about the global get into the show organized and get that little support canberra near the spool about that but secrets decoupled the book must look leah well nobody's mcgillis goodbye to daddy also below me like that australia dick racket yeah but also the mcu will need to go eat that that'd be joking he mumbles gonna say scm we got that gun he pleaded with cydia look wonder he muttered then we got back on indonesia be a couple of us can put on that are somewhat discuss am i going to get better bike or to book tickets and get the asbury le plus raqqa by the australian salsa so don't do analysis but without knowing about albany memorial scott on the moon but your kind of person thanks any other buddies did up until i got out of a sudden you're such a route eg comedian could be mature about the guy thought i'm glad that he my dealer scott biocompatible eating the government jedi ben gulen eloquently ended up at the monarchy but got australia took the the mobile bus can pull off bossier but bet you about the internet shoveling out that gun bumbling thumb breaker the latitude i get only australia so i'll pull a bicep when the law degree in tunisia that no matter the thirty bucks and montgomery cutting out superbugs become a daddy blogger my god written also put me up with australia he can get behind everybody's among other countries do have other children to end up australia excuses by gullible setup but really have no scuba gear in the empty body that hunt up our bunnies so the the indian moms are so nice to see any that one sorted thought that'd be suited by daniel someone at the bus companies that are also lady d c up gunshots get the gun deep robust mueller but he got australia more expensive for the gun club near the ito that one but i thought i'd moderate the model your models can come up with suitable approach because he can blow up the iran guy yeah it'll eat 'em about to become indonesia to australia some bucket my monitor doesn't need it nobody can do coogan cuba indonesia,0_duniamiliter86_1666859831_7159108437337591066,0
63, never again but dang but it means you're not old mobo much the most common method avoided the lompoc bullshit what does it mean for myself not all other people are not natural grains this umbrella the tragedy of acquittals see me as boring i'll give it to a better get this about that i have on the model much nicer what metal knife on my volume mosca the product but awesome actually why the media the middle of the night bush but also mitigate of december the secret but for few more years backwards yet there is what does that achieve just like this especially could it have been the humor leave them alright  or at least wasn't it about animals couple michelle muddled unnatural but also obviously it was miserable as a little known for much at last new motors couple of muslim but he wouldn't open huh god with citrus yup we're just going to spend eventually so you saw the urine cause i bought them yesterday seriously though another thing you paid near   residential no he walked this is because hey nobody will it'll be nearby you made your bed you might penetrate you did it what do you mean we can assure the last couple kinetic model of my former number two pick in the morning i am acquainted with,0_ed_volunteer_1665502724_7153279691523198213,0
64, the other one the rows with your mobile is going to be the product of the disappear we've had negotiated with reputable breeders yeah but if i'm going to skip the medulla yup he issue the approachable who decided this machine or the nazarene is a junior well plus the article the offer it's about time the in dover the idea is that by bordering on jacobi la linea either just finish about we have a quarter the numbers don't need allowed your corner obvious you look at the stalker aquila you can care less because every single one of them this guy has plenty of potential escape ploy to present fixated with promoters from when you will then you get the bottom sound like can i just let's just say she's a little here they don't care it's just the only kind of the whole fuck yeah that was made but i like it the most huh i so much would it gives me it just shows that the actual stadium has to quickly mature enough to what three somebody didn't even ask fetish for europe with them to meet growing up with my husband publisher publisher was it probably wasn't,0_ed_volunteer_1666108659_7155882178826489093,0
65, the positive evolution of a meteor clear bushwick i was medically ambushed by bola generally little vague as it will be ok if that's what the other nice guys are supposed to it's not only socio but which can often lead to that committee the positive about it was medically abortion i usually get tdm gas usually spicy but when we show them up with spicy but they were both giblets and they played really spicy it was last week he has defined keep you the bible is very clear because at that point you couldn't national but then you should never go it was thought they were performed earlier photos of the bottle and of course neighbor thomas vietnam this is all conjecture but razor cut ginger yeah sure yeah especially but new wages will cut you to the lipinski mobile wallets i mean the first year are you doing    cheryl honestly no bathroom but on the yeah it definitely isn't the federal autonomous european nearby it's very hot or should shut their flavors make people the company about that with me but on my nipple you want to leverage cadet the initial job link the course that was negative brazil but there wasn't a global show but also the people he uncompressed old man privada the temperature because they cheated should just be diligent that kushler people nothing neighbors call him that i never forgot i suppose we didn't hold them he was made as many comments as a political cartoonist and suddenly the that the difference was what was the young busta young,0_ed_volunteer_1666362870_7156974003620433157,0
66, but it is but you are muslim or goliath i got the below usually future molokai shazam mobile that transport you to be knowledgeable we've had our way of unclear to us and separated by two or more and i did get into hijab threatening to be near studios trilobites the middle east last nancy law we want to school obama weather what are the stuff the war though it is always a recipe i would the cossack is a bucket but also that was a the vegetable either way though i'd meet you at the meeting people  an ebook thanks the lawsuit me too last year's commodity show precisely as it was thirty years old i'd never thought you should have been edited but also the the will give an edge what else he asked the,0_ed_volunteer_1670006109_7172621607477759238,0
67, look at this because what an eastern canadian similar nikita city huge watson was named waiter doesn't know about it or does the water but we did a piece on apple wouldn't call him na nossa carolina path of most video games well as i said sure why not matt cool positioning eric video of ketchup what login to yeah cause yes google will solve them if it was my mother before me in the bush cause i'd want do it but as i said that's what she me yeah playing on my mac panic the virtual vehicle with this little gem countries not which case that teeth the cost kershaw looking at the asa children nah sure somebody's create something yeah so what was your name his quick definitely justice much quicker go at most progressive the thing that we do the corners sure sure you know to look what i get on it,0_element_x5_1655469225_7110186157861817605,0
68, so this is what's your dog's name zeus zeus this is where a brave the more seuss the hell did you get good food unfortunately no any the veterinarian all of the time but here we have no possibility to buy all of the guys here around know him well and everybody's trying to bring some food for him so he now it's a different thought from different brands there is a war after we will win the dumpster,0_emileghessen_1647953059_7077904489939750149,0
69, the one case a trophy okay twelve i take birth control one has the brush on the like the from the not seals marine carpet russian marine corp it just to win this one in a fight,0_emileghessen_1648967774_7082262647957146885,0
70, the the,0_enko.yuliia_1647689332_7076771790990707974,0
71, the chip with them,0_enotova.kk_1649609230_7085017689848106246,0
72, is that guy the sequence the the the,0_enotova.kk_1649782484_7085761809398893830,0
73, i think it's cover it the wii was,0_ervesto77_1649887168_7086211427509341446,0
74, we had a pool is that way the lower though,0_ervesto77_1650404328_7088432610371816709,0
75, pinterest,0_ervesto77_1651403749_7092725082610486534,0
77, the  the goal of the cosmic remission you particularly remember the resume you want for me but it wasn't to grow with you the customer the drama rather tunable more where you nice to me the drums of immune part the goodbye watch the formula to be terribly familiar the familiar with the rules you're calling furious with for years,0_evca77_1659383878_7126999468234378502,0
78, north korea's kim jong-un is offering up to one hundred thousand soldiers or one hundred thousand volunteers as he labeled them to help russia in the war with ukraine meaning soldiers from north korea and russia would both be at war in ukraine which would make it even harder for ukraine to defend itself at least according to russian state media also according to south korea korean media north korea has offered to send workers to russia to help rebuild a postwar ukraine should they sign a treaty that orders them to give up that territory as it seems kim jong-un's north korea as well as belarus a quite possibly the two most supportive countries in the world of russia's war in ukraine so exactly how effective would it be to send one hundred thousand troops to ukraine different needs to us soldiers north korean soldiers don't really have actual combat experience the north korean soldiers in spite of the aging military trained for several years from a young age however that isn't to say that the training actually is effective of course it's very hard to say how well trained day off and in spite of all north korea's military flows their soldiers on bad too trained of course when you take nukes out of the equation south korea still has the most dominant military still sending one hundred thousand troops to ukraine will of course be very distracting and overwhelming especially if thoreau center once if this is true ukraine could be in big trouble but we have to wait until this topic gets more media coverage in order to see exactly how willing north,0_experloee_1659979282_7129556713228881157,0
79, israel where your mouth then we water was fashioned but why don't you buy the dealer then the league where you can have laughed,0_f1re.jpg_1648914718_7082034783240375558,0
81, slovenia ruin slower greener ball under sec samaritan moto home button all the way in the cadaver bush one,0_fandomua_1653659745_7102414514699685125,0
82, the the the the the the the the the,0_fandomua_1661268729_7135094831524728070,0
83, if you got caught him you get pulled over you will pull a poppy new year new paprika to late but dolan's disbelief after that got their lives back on them by the aedes aegypti were you in the are you from the customer ordered enough but you've got that,0_fedoseev_xx1_1649498409_7084541713968090374,0
84, in the,0_fin_foin_1673245200_7186533331725602053,0
85, i said officially that whoever continue supplying ukraine with weapons are going to,0_fortnitegod04__1674588806_7192304050094755118,0
86, wanna take a quick moment to talk about some of the heroes from ukraine member of the eu cleaning the air force has been dubbed the ghost of kiev after the downed six russian planes within one day making him the first person to do this in europe since world war two then there are the years of snake island after a russian warship told them to put all their weapons down and surrender instead he decided they were going to follow their orders and not surrender and they responded to the russian warship by telling it to go fuck itself they were subsequently all killed by the warships bombardment the president of ukraine has said that they will all receive posthumous honours this is the youngest mp in the ukrainian parliament gearing up for a long night he and many other eighteen to six year old ukrainians will be joining the fight eighty year old man showed up to help the ukrainian army fight with him was a small case with duty,0_frankdomenic_1645755204_7068464770768194822,0
87, the the the the the   ,0_freshappletea_1668851994_7167664716305714438,0
90, it is hot as hell and is funky as hot as the room i'm in is that way though,0_fundiambb1_1645761838_7068493267578424622,0
91, why did he die,0_fundiambb1_1649715496_7085474102810512686,0
92, go ahead and light this candle i'm sure i'll lose everything but then,0_fundiambb1_1662260138_7139352920704814382,0
93, there is no limping way of flipping way what what's going to rare when america is actually happy about something that's going to my interest has been piqued rushes buying millions of rounds of artillery and missiles from north korea absolutely die really like north korea what are you doing shithead one two three,0_fundiambb1_1662497104_7140370684785495338(1),0
94, there is no limping way of flipping way what what's going to rare when america is actually happy about something that's going to my interest has been piqued rushes buying millions of rounds of artillery and missiles from north korea absolutely die really like north korea what are you doing shithead one two three,0_fundiambb1_1662497104_7140370684785495338,0
95, demons have it a little bit of hard time there cause i'm just getting started bitch but he gets started ukraine counter offensive going in full swing bin russian troops are retreating and leaving caracara eve gotten i dunno twenty thirty settlement ton of liberated cities only eight days you are some superpower a superpower that can turn your country to ash yeah same here dickhead try me try a dairy then would make me happy if the american people their enemy do it because it's not gonna end well for you trust me everyone loves just discretionary spending ie are now officially the a military nuclear state and any action against our leader or government will immediately have our nukes fire like i'm not right here really it might as well be because no one fucking likes trying to fuck with us when we just lost our queen and have a king billy going to do that we have nukes to collect funny tshirt but maybe the three to four nukes that you do lunch will have a pretty good chance of knocking out of the sky and still killing it but i digress pussy we will be respected and recognized as a nuclear power respected recognized these nuts bit me and hassle ireland have hangovers for obvious reasons don't get on my nerves none of you are gonna do a goddamn thing yeah you're from it another b one and b fifty two would be too oh they wouldn't get past our radar in the first place ice raider you got there us gal looks pretty small from up here,0_fundiambb1_1662854246_7141904596267470123(1),0
96, demons have it a little bit of hard time there cause i'm just getting started bitch but he gets started ukraine counter offensive going in full swing bin russian troops are retreating and leaving caracara eve gotten i dunno twenty thirty settlement ton of liberated cities only eight days you are some superpower a superpower that can turn your country to ash yeah same here dickhead try me try a dairy then would make me happy if the american people their enemy do it because it's not gonna end well for you trust me everyone loves just discretionary spending ie are now officially the a military nuclear state and any action against our leader or government will immediately have our nukes fire like i'm not right here really it might as well be because no one fucking likes trying to fuck with us when we just lost our queen and have a king billy going to do that we have nukes to collect funny tshirt but maybe the three to four nukes that you do lunch will have a pretty good chance of knocking out of the sky and still killing it but i digress pussy we will be respected and recognized as a nuclear power respected recognized these nuts bit me and hassle ireland have hangovers for obvious reasons don't get on my nerves none of you are gonna do a goddamn thing yeah you're from it another b one and b fifty two would be too oh they wouldn't get past our radar in the first place ice raider you got there us gal looks pretty small from up here,0_fundiambb1_1662854246_7141904596267470123,0
97, in all my years of conquest violence slaughters there's another person the i'll tell you now when i'm about to do to your stubborn annoying little planet i'm going to enjoy very very much,0_fundiambb1_1662863982_7141946412983405866,0
99, i can't wait to get my hands on this color that you're going to make it now,0_fundiambb1_1663604902_7145128532522569006,0
100, i can't wait to get my hands on this book come out that you're going to make it that,0_fundiambb1_1663610988_7145154690056047915(1),0
101, i can't wait to get my hands on this book come out that you're going to make it that,0_fundiambb1_1663610988_7145154690056047915,0
102, we're going to talk about something we're going to talk about what kind of munitions that can hold we're not going to talk about the conventional type yes i know i am banned by international treaty that i cannot carry nuclear weapons but let's just say that treaty doesn't exist what can i care the max payload i can hole is seventy five thousand pounds going one point two super fast so here's the thing i was designed to drop nukes so fast that i wouldn't get hurt by the explosion so fast that they can't even get me so what can i carry this is the b sixty one is a dummy load nuclear warhead a nuclear bomb that i can carry eight per band aid of the it can be anywhere between point five and four hundred kilotons this this is the be eighty three she's a thermo nuclear warhead rated at one point two megatons and i can carry these eight of them per bay i can carry twenty four twenty four four that's twenty eight point eight megatons that sixty three billion four hundred and ninety three million one hundred and thirty one thousand five hundred and nine point two boer pounds of explosives of tnt and if you think a nuclear war decides to break out between the united states and russia that yeah you think we're going to possibly follow a treaty that's going to damper this makes up for the people who say all of the mounting systems you really think they don't have like the design somewhere and they can't just take a couple of engineers and craft them up if i could put a couple of engineers enough monster energy cake and pizza and they'll figure shit out the people when they get attitudes and they think that the united states should be destroyed and they decide to attack us just remind them i have sixty four billion reasons why that is a horrible fucking idea fuck around and find out don't start no she won't,0_fundiambb1_1663616822_7145179754914680110(1),0
103, we're going to talk about something we're going to talk about what kind of munitions that can hold we're not going to talk about the conventional type yes i know i am banned by international treaty that i cannot carry nuclear weapons but let's just say that treaty doesn't exist what can i care the max payload i can hole is seventy five thousand pounds going one point two super fast so here's the thing i was designed to drop nukes so fast that i wouldn't get hurt by the explosion so fast that they can't even get me so what can i carry this is the b sixty one is a dummy load nuclear warhead a nuclear bomb that i can carry eight per band aid of the it can be anywhere between point five and four hundred kilotons this this is the be eighty three she's a thermo nuclear warhead rated at one point two megatons and i can carry these eight of them per bay i can carry twenty four twenty four four that's twenty eight point eight megatons that sixty three billion four hundred and ninety three million one hundred and thirty one thousand five hundred and nine point two boer pounds of explosives of tnt and if you think a nuclear war decides to break out between the united states and russia that yeah you think we're going to possibly follow a treaty that's going to damper this makes up for the people who say all of the mounting systems you really think they don't have like the design somewhere and they can't just take a couple of engineers and craft them up if i could put a couple of engineers enough monster energy cake and pizza and they'll figure shit out of people when they get attitudes and they think that the united states should be destroyed and they decide to attack us just remind them i have sixty four billion reasons why that is a horrible fucking idea fuck around and find out don't start no she won't,0_fundiambb1_1663616822_7145179754914680110,0
104, go ahead and light this candle i'm sure i'll lose everything but then,0_fundiambb1_1663877401_7146298968018832682,0
105, hey are,0_fundiambb1_1664410806_7148589940949929262,0
106, the british in the town in new orleans the british paper the mississippi to the gulf of mexico the embassy the british men they must depend on the steps,0_fundiambb1_1664861776_7150526704522399022,0
107, in all my years of conquest violence slaughters there's another person the i'll tell you now when i'm about to do to your stubborn annoying little planet going to enjoy very very much,0_fundiambb1_1665173620_7151866200513875246,0
108, it's really cute that you're going to defeat me with the power of friendship and all but again i am the devil from the bible so i dunno motherfucker you didn't let me finish go ahead,0_fundiambb1_1665177265_7151881853270510894(1),0
109, it's really cute that you're going to defeat me with the power of friendship and all but again i am the devil from the bible so i dunno motherfucker you didn't let me finish go ahead,0_fundiambb1_1665177265_7151881853270510894,0
110, it was turkey,0_fundiambb1_1665454953_7153074528300698926(1),0
111, it was turkey,0_fundiambb1_1665454953_7153074528300698926,0
112, go ahead and light this candle i'm sure i'll lose everything but then,0_fundiambb1_1665718381_7154205937002188075,0
113, the,0_fundiambb1_1665955937_7155226221247253803,0
114, i get my how your murmured to serve you,0_fundiambb1_1667517178_7161931705488526638,0
115, i am not a king i am not a dog the,0_fundiambb1_1668108992_7164473517155683626(1),0
116, i am not a king i am not a dog the,0_fundiambb1_1668108992_7164473517155683626,0
117, i can't wait to get my hands on this book that kind of that you're going to make it nat,0_fundiambb1_1673074061_7185798262136376619(1),0
118, i can't wait to get my hands on this book that kind of that you're going to make it nat,0_fundiambb1_1673074061_7185798262136376619,0
119, you will explain why i had to escort one of your spy boats away from hawaii i made a big huff about a science vessel can lie to your people to your media into other countries be can't lie to me ask a country what happened last time they touched one of our islands i don't wanna talk about it i really don't know he just meant disclaimer this is not going to be the cuban missile crisis of course this is going to be something entirely different if you understand what i'm going to tell you in the next few moments you may survive me not even barely lifting a finger to completely wipe out the entirety of your navy with in the evening and allah will take me is to see seventeens,0_fundiambb1_1674168357_7190498302318923054,0
120, russia is threatening to start a nuclear war if it's defeated by ukraine,0_fundiambb1_1674506996_7191952707547188522,0
121, in all my years of conquest violence slaughters there's another person the i'll tell you now when i'm about to do to your stubborn annoying little planet,0_fundiambb1_1674683047_7192708853065207083(1),0
122, in all my years of conquest violence slaughters there's another person the i'll tell you now when i'm about to do to your stubborn annoying little planet,0_fundiambb1_1674683047_7192708853065207083,0
123, and i'm sore as fuck my right track is fucking squeaky and i need an oil change i'm taking a break sad noise oh god,0_fundiambb1_1674685507_7192719445872201002,0
124, if cleveland is modern day but it gust of wind as modeled when utah has within that is motivated to move can we score one ho ward it all huge drive their portion allows that thot patrollers that sidibe a ie shade but podium color record yet not should be squarely a budget sixty get paid gear which has water on there but son of cars three-row on the hippo british e di boschi we adore yankee bullet izumi abroad schema heli buju has tormented pedantic your talk robert new york mayor we must pursue the english homework sceptical way to call here to cover yesteryear here sarah roski by chen yams spot coin slap this ebook the theory we might have sacramental years into the a moment of the recap knee chest ned awash with tomic with spain simply sridhar as russia holloway baton rouge lipstick color i bought it as autonomy hero with this treaty near recognition and most of the bioactive euro area crusher swear it jim when eugenia and all duchy,0_future_ua_com_1665031072_7151253929458732294,0
125, image people the more i actually was at the top of these honestly the more you showed the goku silky bummer yeah which can be great you didn't think he'd been the thing and when you're that you can mishra them to you we're glued to judge the likud similar to when he you well then they said you did but it was likely to kill you but it wouldn't actually be the troy aikman the ticket could be together but,0_future_ua_com_1666677032_7158323302774082822,0
126, it's audio was made,0_fxcking.military_1672985512_7185418006728609029,0
130, the the,0_germanempire.map_1672299518_7182471688574012678,0
131, i have double pneumonia a dvd years ago derivatives are totally nea de oca jewish majority in my career the group were computed flesh gay point internet the linux a nickel dick or when they have verge alisha to nice to tennis symbol motionless as far as electrique has chosen utah,0_getupshoot_1656572771_7114925851476643077,0
132, the the the the bridge was unbelievable the system also islamic wickets the one on the greens could do that particular boy supercross models are neutrals normal renewable was spotless due to the large shorter gear receives people today are these people the the world the metric boy sir no one oregon national green school road yup your does your horribly store sure your agreements to my producer naughty or nice to meet you make ricky short lada the nyc ricky should be squid   h three yeah  shush ,0_glorious.cossack_1664820484_7150349502803725574,0
133, the,0_goose_ose_1666070875_7155719831512288518,0
134, my name is greg i'm a blogger from russia the war in ukraine is horrible and we are all shocked saddened and terrified by the events many of my friends are currently leaving moscow and russia in fear of being persecuted or a protest against the actions of the routines regime,0_gregmustreader_1646692917_7072492224642141482,0
135, it's a night signaling it's retreat from the key ukrainian city of pearsall on russians lowering their flag a humiliating defeat for vladimir the top russian commander saying it's a difficult decision that will preserve his forces it would be the biggest setback for putin as his forces will push down around key early in this war,0_harley_f1_1669669592_7171176264986938630,0
136, crane has struck deeper into russian territory than it ever has before with drones attacking two military bases hundreds of miles away strikes that happened yesterday were deep inside russia whereas the strike that happened today did happen closer to the border but the strikes yesterday included strikes at the engels airfield from which,0_harley_f1_1670534101_7174889260183473414,0
